City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lethem,GY,3.3803,-59.7968,78.71,85,95,4.68,light rain
1,Qaanaaq,GL,77.484,-69.3632,24.4,81,100,3.09,overcast clouds
2,Talavera De La Reina,ES,39.9635,-4.8308,63.52,51,6,4.47,clear sky
3,Alyangula,AU,-13.8483,136.4192,75.07,94,5,1.14,clear sky
4,Yen Bai,VN,21.7,104.8667,75.16,97,100,3.4,overcast clouds
5,Puerto Ayora,EC,-0.7393,-90.3518,78.76,79,51,9.44,broken clouds
6,New Norfolk,AU,-42.7826,147.0587,42.3,83,36,2.66,scattered clouds
7,Kapaa,US,22.0752,-159.319,80.58,77,40,12.66,scattered clouds
8,Nikolskoye,RU,59.7035,30.7861,38.79,87,49,5.53,scattered clouds
9,Punta Arenas,CL,-53.15,-70.9167,44.71,65,40,36.82,light rain
10,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,78,11,12.82,few clouds
11,Rikitea,PF,-23.1203,-134.9692,76.37,77,78,19.69,broken clouds
12,Butaritari,KI,3.0707,172.7902,81.82,79,13,18.32,few clouds
13,Hilo,US,19.7297,-155.09,92.28,83,100,14.97,light rain
14,Bluff,NZ,-46.6,168.3333,49.8,89,100,2.84,overcast clouds
15,Hobart,AU,-42.8794,147.3294,42.66,88,0,1.14,clear sky
16,Cherskiy,RU,68.75,161.3,25.11,89,100,12.95,overcast clouds
17,Kloulklubed,PW,7.0419,134.2556,75.7,85,100,14.23,moderate rain
18,Busselton,AU,-33.65,115.3333,55.42,83,1,3.0,clear sky
19,Banjar,ID,-8.19,114.9675,77.67,90,85,3.0,overcast clouds
20,Mataura,NZ,-46.1927,168.8643,49.48,93,99,0.31,overcast clouds
21,Egvekinot,RU,66.3167,-179.1667,28.13,92,100,2.13,overcast clouds
22,Moses Lake,US,47.1301,-119.2781,56.08,24,75,11.5,broken clouds
23,Hermanus,ZA,-34.4187,19.2345,58.17,76,98,3.29,overcast clouds
24,Ushuaia,AR,-54.8,-68.3,42.46,75,40,28.77,scattered clouds
25,At-Bashi,KG,41.1702,75.8106,56.39,40,0,5.19,clear sky
26,Bethel,US,41.3712,-73.414,58.64,42,100,4.0,overcast clouds
27,Nagato,JP,34.3833,131.2,59.2,69,70,13.87,broken clouds
28,Baturaja,ID,-4.1333,104.1667,74.89,88,100,2.01,overcast clouds
29,Wagga Wagga,AU,-35.1167,147.3667,44.6,100,0,5.75,clear sky
30,Sfantu Gheorghe,RO,45.8667,25.7833,50.83,79,88,2.33,light rain
31,Thompson,CA,55.7435,-97.8558,59.16,44,40,18.41,scattered clouds
32,Corrente,BR,-3.7367,-43.3394,74.77,95,100,1.63,heavy intensity rain
33,Hami,CN,42.8,93.45,66.42,31,6,6.8,clear sky
34,Pevek,RU,69.7008,170.3133,22.73,85,100,11.18,overcast clouds
35,Keuruu,FI,62.2667,24.7,36.81,74,12,5.12,few clouds
36,Batagay-Alyta,RU,67.8006,130.4114,26.89,94,100,3.78,light snow
37,Souillac,MU,-20.5167,57.5167,71.98,94,20,3.44,few clouds
38,Yellowknife,CA,62.456,-114.3525,25.32,93,100,27.63,overcast clouds
39,Kibala,TD,9.1104,18.3463,87.75,62,0,0.0,clear sky
40,Fare,PF,-16.7,-151.0167,81.84,75,11,11.34,few clouds
41,Mar Del Plata,AR,-38.0023,-57.5575,68.95,70,0,17.27,clear sky
42,Abu Kamal,SY,34.4506,40.9171,69.03,32,0,5.7,clear sky
43,Kostomuksha,RU,64.571,30.5767,30.79,86,35,5.28,scattered clouds
