City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mahebourg,MU,2022-05-07 17:11:57,-20.4081,57.7,77.25,88,40,11.5
1,Mataura,NZ,2022-05-07 17:11:57,-46.1927,168.8643,58.48,88,84,4.94
2,Mar Del Plata,AR,2022-05-07 17:07:35,-38.0023,-57.5575,73.42,53,0,23.02
3,Shieli,KZ,2022-05-07 17:11:58,44.1667,66.75,78.4,32,61,15.99
4,Ushuaia,AR,2022-05-07 17:08:59,-54.8,-68.3,55.06,47,20,16.11
5,Castro,BR,2022-05-07 17:11:59,-24.7911,-50.0119,65.8,46,39,5.03
6,Thompson,CA,2022-05-07 17:12:00,55.7435,-97.8558,55.8,89,68,10.11
7,Chokurdakh,RU,2022-05-07 17:12:00,70.6333,147.9167,16.52,94,99,11.56
8,Carnarvon,AU,2022-05-07 17:12:01,-24.8667,113.6333,64.47,77,40,6.91
9,East London,ZA,2022-05-07 17:12:01,-33.0153,27.9116,65.37,87,98,11.43
10,Bongandanga,CD,2022-05-07 17:12:02,1.5,21.05,77.65,74,94,3.69
11,Hermanus,ZA,2022-05-07 17:12:03,-34.4187,19.2345,56.8,69,22,9.01
12,Cabo San Lucas,MX,2022-05-07 17:10:10,22.8909,-109.9124,87.62,47,0,4.61
13,Dikson,RU,2022-05-07 17:12:04,73.5069,80.5464,8.65,100,58,5.75
14,Nikolskoye,RU,2022-05-07 17:12:04,59.7035,30.7861,56.88,71,28,7.61
15,Hovd,MN,2022-05-07 17:12:05,48.0056,91.6419,62.98,24,98,9.08
16,Port Alfred,ZA,2022-05-07 17:12:05,-33.5906,26.891,64.18,89,88,3.0
17,Kapaa,US,2022-05-07 17:12:06,22.0752,-159.319,75.52,82,100,18.41
18,Marawi,PH,2022-05-07 17:12:06,7.9986,124.2928,71.11,90,97,1.97
19,Bambous Virieux,MU,2022-05-07 17:09:35,-20.3428,57.7575,77.22,88,40,11.5
20,Bondo,CD,2022-05-07 17:12:07,3.8146,23.6866,80.17,64,100,0.92
21,Bengkulu,ID,2022-05-07 17:12:08,-3.8004,102.2655,76.96,89,100,10.56
22,Esperance,AU,2022-05-07 17:12:08,-33.8667,121.9,57.56,48,68,15.66
23,Asau,RO,2022-05-07 17:12:09,46.4333,26.4,59.92,65,62,2.91
24,Punta Arenas,CL,2022-05-07 17:12:09,-53.15,-70.9167,51.91,71,40,29.93
25,Puerto Ayora,EC,2022-05-07 17:12:10,-0.7393,-90.3518,78.76,80,37,9.4
26,La Libertad,EC,2022-05-07 17:12:11,-2.2333,-80.9,76.66,78,75,9.22
27,Kyshtovka,RU,2022-05-07 17:12:11,56.555,76.6271,33.87,42,90,5.26
28,Aklavik,CA,2022-05-07 17:12:12,68.2191,-135.0107,31.19,86,99,8.01
29,Butaritari,KI,2022-05-07 17:12:12,3.0707,172.7902,81.28,79,98,13.22
30,Henties Bay,NA,2022-05-07 17:12:13,-22.116,14.2845,58.87,85,0,15.28
31,Hobart,AU,2022-05-07 17:12:13,-42.8794,147.3294,51.66,73,60,12.66
32,Uruzgan,AF,2022-05-07 17:12:14,32.8333,66.0,74.48,27,55,11.05
33,Busselton,AU,2022-05-07 17:12:15,-33.65,115.3333,59.65,65,64,4.79
34,Victor Harbor,AU,2022-05-07 17:12:15,-35.5667,138.6167,53.01,91,16,3.13
35,Geraldton,AU,2022-05-07 17:12:16,-28.7667,114.6,55.81,88,5,9.22
36,Touros,BR,2022-05-07 17:10:26,-5.1989,-35.4608,80.6,84,90,12.75
37,Guerrero Negro,MX,2022-05-07 17:12:18,27.9769,-114.0611,65.34,66,23,13.38
38,Avarua,CK,2022-05-07 17:12:19,-21.2078,-159.775,77.05,88,40,2.3
39,Rikitea,PF,2022-05-07 17:12:19,-23.1203,-134.9692,77.4,83,65,10.38
40,Saint-Philippe,RE,2022-05-07 17:12:20,-21.3585,55.7679,74.79,83,40,13.87
41,Allapalli,IN,2022-05-07 17:12:20,19.4167,80.0667,92.43,25,76,3.29
42,Acapulco,MX,2022-05-07 17:11:29,16.8634,-99.8901,82.22,69,100,4.61
43,Vysokogornyy,RU,2022-05-07 17:13:21,50.1167,139.15,31.05,93,100,3.6
44,Cape Town,ZA,2022-05-07 17:13:22,-33.9258,18.4232,60.28,69,3,8.01
45,Faanui,PF,2022-05-07 17:13:23,-16.4833,-151.75,79.97,80,14,7.34
46,New Norfolk,AU,2022-05-07 17:13:23,-42.7826,147.0587,51.3,65,42,1.99
47,Jamestown,US,2022-05-07 17:13:24,42.097,-79.2353,60.53,45,0,19.57
48,Sao Gabriel Da Cachoeira,BR,2022-05-07 17:13:24,-0.1303,-67.0892,75.99,96,98,0.87
49,Novobirilyussy,RU,2022-05-07 17:13:25,56.9514,90.6661,33.94,53,52,16.44
50,Havre-Saint-Pierre,CA,2022-05-07 17:13:25,50.2334,-63.5986,39.72,48,1,8.93
51,Kuryk,KZ,2022-05-07 17:13:26,43.2,51.65,63.05,81,6,9.75
52,Vila Velha,BR,2022-05-07 17:13:26,-20.3297,-40.2925,78.75,65,0,17.27
53,Kahului,US,2022-05-07 17:10:38,20.8947,-156.47,75.22,73,20,15.99
54,Iqaluit,CA,2022-05-07 17:13:27,63.7506,-68.5145,25.7,58,93,10.0
55,Majene,ID,2022-05-07 17:13:28,-3.5403,118.9707,79.05,89,96,4.9
56,Yulara,AU,2022-05-07 17:13:29,-25.2406,130.9889,48.04,49,0,6.91
57,Bredasdorp,ZA,2022-05-07 17:13:30,-34.5322,20.0403,55.2,80,10,4.27
58,Ugoofaaru,MV,2022-05-07 17:13:30,5.6667,73.0,85.23,70,100,11.7
59,Bahia Blanca,AR,2022-05-07 17:13:31,-38.7196,-62.2724,75.67,31,22,15.82
60,Bluff,NZ,2022-05-07 17:13:32,-46.6,168.3333,58.8,81,87,5.32
61,Barrow,US,2022-05-07 17:13:32,71.2906,-156.7887,21.22,86,100,12.66
62,Hay River,CA,2022-05-07 17:09:55,60.8156,-115.7999,32.67,99,100,15.86
63,Kodinsk,RU,2022-05-07 17:13:34,58.6881,99.1844,36.3,67,48,13.71
64,Hilo,US,2022-05-07 17:11:03,19.7297,-155.09,81.28,93,100,4.61
65,Coihaique,CL,2022-05-07 17:13:35,-45.5752,-72.0662,61.41,77,75,8.05
66,Lagoa,PT,2022-05-07 17:13:36,39.05,-27.9833,60.76,65,58,5.19
67,Tuktoyaktuk,CA,2022-05-07 17:13:36,69.4541,-133.0374,29.53,89,100,6.96
68,Zaliztsi,UA,2022-05-07 17:13:37,49.7919,25.373,57.07,78,94,4.27
69,Lompoc,US,2022-05-07 17:09:28,34.6391,-120.4579,67.6,75,0,20.71
70,Pangnirtung,CA,2022-05-07 17:11:21,66.1451,-65.7125,22.93,74,86,4.23
71,Cidreira,BR,2022-05-07 17:13:38,-30.1811,-50.2056,66.92,62,5,5.14
72,Tiksi,RU,2022-05-07 17:13:38,71.6872,128.8694,8.42,93,15,8.52
73,Elban,RU,2022-05-07 17:13:39,50.1018,136.5094,40.78,74,91,10.09
74,Erzin,TR,2022-05-07 17:13:39,36.9559,36.2,61.23,67,60,8.21
75,Saint George,US,2022-05-07 17:11:41,37.1041,-113.5841,83.43,18,0,8.01
76,Sitka,US,2022-05-07 17:13:40,57.0531,-135.33,44.49,70,40,0.0
77,Albany,US,2022-05-07 17:11:40,42.6001,-73.9662,56.55,39,100,1.99
78,Stokmarknes,NO,2022-05-07 17:13:40,68.5646,14.9108,39.18,60,75,19.57
79,Atuona,PF,2022-05-07 17:13:41,-9.8,-139.0333,77.86,78,21,15.28
80,Bose,IT,2022-05-07 17:13:42,45.4612,8.0137,61.16,91,94,1.54
81,Tacuarembo,UY,2022-05-07 17:11:26,-31.7333,-55.9833,70.57,58,7,3.87
82,Samarinda,ID,2022-05-07 17:13:42,-0.5,117.15,74.62,97,100,0.78
83,Isoka,ZM,2022-05-07 17:13:43,-10.1606,32.6335,62.98,88,42,0.94
84,Igra,RU,2022-05-07 17:14:44,57.5558,53.0547,45.1,74,44,6.11
85,Andenes,NO,2022-05-07 17:14:44,69.3143,16.1194,33.78,86,100,24.16
86,Rognan,NO,2022-05-07 17:14:45,67.0953,15.3878,37.54,85,100,12.28
87,Constitucion,CL,2022-05-07 17:14:45,-35.3333,-72.4167,63.97,53,0,5.23
88,Victoria,HK,2022-05-07 17:14:30,22.2855,114.1577,77.38,79,100,5.01
89,Douglas,US,2022-05-07 17:14:46,41.3,-96.167,69.58,58,0,21.85
90,Natal,BR,2022-05-07 17:14:46,-5.795,-35.2094,84.85,74,75,10.36
91,Pringsewu,ID,2022-05-07 17:14:47,-5.3582,104.9744,75.69,96,100,2.28
92,Ilulissat,GL,2022-05-07 17:11:30,69.2167,-51.1,26.62,68,20,2.3
93,Tuatapere,NZ,2022-05-07 17:14:48,-46.1333,167.6833,54.77,90,76,3.24
94,Vila Franca Do Campo,PT,2022-05-07 17:14:48,37.7167,-25.4333,66.61,89,93,2.46
95,Tazovskiy,RU,2022-05-07 17:14:49,67.4667,78.7,4.21,97,14,8.97
96,Ibi,ES,2022-05-07 17:14:49,38.6253,-0.5723,67.17,51,68,6.33
97,Kamenka,RU,2022-05-07 17:14:50,51.3223,42.7678,47.52,51,4,6.78
98,Seoul,KR,2022-05-07 17:13:47,37.5683,126.9778,58.44,36,99,4.94
99,Saint-Pierre,RE,2022-05-07 17:10:38,-21.3393,55.4781,74.88,73,0,2.3
100,Biak,ID,2022-05-07 17:14:51,-0.9131,122.8766,77.31,86,100,1.72
101,Berlevag,NO,2022-05-07 17:14:51,70.8578,29.0864,40.8,88,11,30.11
102,Bonavista,CA,2022-05-07 17:14:52,48.6499,-53.1147,38.55,61,64,15.79
103,Bairiki,KI,2022-05-07 17:14:52,1.3292,172.9752,80.6,83,20,6.91
104,Ban Nahin,LA,2022-05-07 17:14:53,18.2418,104.2122,74.44,96,86,2.59
105,Davila,PH,2022-05-07 17:14:54,18.4726,120.5763,82.6,79,98,6.96
106,Nome,US,2022-05-07 17:14:54,64.5011,-165.4064,32.07,86,100,17.27
107,Abu Zabad,SD,2022-05-07 17:14:55,12.35,29.25,93.49,9,92,7.99
108,Broken Hill,AU,2022-05-07 17:14:55,-31.95,141.4333,51.3,51,0,6.67
109,Ucluelet,CA,2022-05-07 17:13:44,48.9329,-125.5528,50.09,75,82,4.0
110,Fortuna,US,2022-05-07 17:14:56,40.5982,-124.1573,52.14,95,75,12.66
